,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
33,"Santa Cruz, AZ",4023,38381,39288,40009,40625,41623,42961,44298,45338,46144,47011,46051,46727,47057,47122,47250.0,47073.0,46547.0,46358.0,46584.0,46480.0,46594.0,47463.0,04023,272.88909,1258.0751824782196,0.011791274890881848,-0.18794994466139398,0.05023017038851472,-0.39596648073242785
34,"Yavapai, AZ",4025,167517,172636,177362,182090,187822,195424,204082,208773,211211,211172,209260,210838,211280,211968,213689.0,215996.0,218586.0,220972.0,224645.0,228067.0,232396.0,233789.0,04025,76.07306,633.2339462490331,0.11056102456274491,-0.22315701918951555,-0.38092604434564986,0.5890323839715577
35,"Yuma, AZ",4027,160026,162873,165398,168003,172824,178816,183848,187357,191202,193714,190526,193995,196420,199026,201453.0,202987.0,203292.0,204281.0,207829.0,209468.0,211931.0,202944.0,04027,93.93186,293.3436618551738,0.11234687129315683,-0.21996238050798736,-0.6154589143728503,0.6068420575592206
36,"Arkansas, AR",5001,20749,20593,20351,19981,19967,19954,19785,19434,19275,19134,19321,19146,19029,18957,18861.0,18731.0,18569.0,18352.0,18124.0,17914.0,17761.0,17273.0,05001,1036.33179,2700.801612968956,-0.08074116246571088,-0.05138289757254491,1.045747800468805,-1.3187626409671152
37,"Benton, AR",5007,153406,159258,164926,171742,179010,186756,195569,203664,210807,216620,209911,216314,222028,227439,232611.0,238198.0,245231.0,251823.0,258980.0,265759.0,273510.0,278774.0,05007,64.64385,1378.33664424763,0.3029807870954833,-0.22520151245699765,0.13321361262707673,2.507972629046927
38,"Chicot, AR",5017,14117,13758,13382,13173,12879,12729,12516,12313,12050,11851,12102,11947,11759,11621,11489.0,11353.0,11189.0,11008.0,10826.0,10615.0,10433.0,10405.0,05017,1559.1902599999999,4200.770238759784,-0.13791108907618577,0.042147680810473986,2.0807639892511474,-1.8888998843398181
39,"Craighead, AR",5031,82148,83276,83978,85000,86331,87512,89725,91350,93316,95482,93329,95034,96709,98398,99835.0,101409.0,102884.0,104246.0,105701.0,107345.0,109081.0,109875.0,05031,2736.05987,1383.1228879138687,0.16877926475157776,0.2526698423902566,0.1365162414906653,1.1696241206275466
40,"Crittenden, AR",5035,50866,50919,50622,50252,50266,50244,50360,50438,50699,50929,50673,50701,50618,50447,50172.0,49765.0,49511.0,49278.0,49013.0,48672.0,48381.0,48338.0,05035,246.38273999999998,880.0054908046895,-0.04523118820673731,-0.1926914844634034,-0.21064745374428545,-0.9646331180417286
41,"Desha, AR",5041,15341,14958,14583,14405,14270,13992,13870,13523,13273,13108,13351,13131,12922,12774,12602.0,12379.0,12234.0,12094.0,11887.0,11709.0,11538.0,11530.0,05041,642.0321200000001,2657.9202004803137,-0.13579507153022247,-0.12191647081911292,1.016158544160062,-1.8677975236738042
42,"Faulkner, AR",5045,86014,88830,90624,93618,96162,99192,102969,105637,108477,110813,108375,111058,113730,115928,117804.0,119343.0,120417.0,121282.0,122416.0,123624.0,124800.0,123191.0,05045,2672.95633,1885.6254231030684,0.15155709342560553,0.2413816813813779,0.48325566649082435,0.9978729593643252
43,"Garland, AR",5051,88068,89032,89630,90483,91084,92096,94077,94753,95636,95840,95290,95914,96249,96547,96804.0,96954.0,97119.0,97994.0,98296.0,98555.0,99043.0,99694.0,05051,665.59155,1820.1423611248588,0.03938503515584007,-0.11770208539608584,0.43807070190348113,-0.12078280734866698
