,Areaname,STCOU,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,popini,2011,2012,2013,2014,2015,2016,2017,2018,2019,popfin,2021,FIPScounty,Percapdmg,Exposure,Recovery,NDamage,NExposure,NRecovery
625,"Sarpy, NE",31153,122595,126442,129496,132017,136339,140239,144070,148214,152762,156147,152180,155874,159413,162728,165955.0,169192.0,172460.0,175188.0,178351.0,181232.0,183956.0,188464.0,31153,2275.1004100000005,3866.5904775492613,0.20880536207123143,0.170211954876406,1.8501715242694554,1.568791482591829
626,"Scotts Bluff, NE",31157,36951,36561,36572,36468,36278,36277,36223,36338,36536,36677,36569,36729,36835,36883,36844.0,36684.0,36599.0,36509.0,36255.0,36074.0,35884.0,36229.0,31157,1.66265,49.79737893552644,-0.018731712652793348,-0.2364677888993714,-0.7835119930875457,-0.7003623932236259
627,"Wayne, NE",31179,9851,9788,9664,9689,9612,9654,9720,9506,9481,9552,9573,9530,9542,9499,9488.0,9425.0,9414.0,9409.0,9367.0,9332.0,9388.0,9590.0,31179,699.36361,242.7031059310505,-0.019325185417319545,-0.11166083238743511,-0.6504021753779071,-0.7062809057361423
628,"York, NE",31185,14598,14438,14230,14175,13952,14021,14130,14078,13881,13689,13886,13804,13727,13762,13797.0,13825.0,13842.0,13832.0,13799.0,13745.0,13671.0,14164.0,31185,6099.91219,1517.9386548181417,-0.015483220509866053,0.8544063947017454,0.22954252140732792,-0.6679662285738867
629,"Churchill, NV",32001,23982,24342,24155,24026,24226,24593,24842,24961,25049,25067,24946,24904,24779,24572,24347.0,24252.0,24148.0,24022.0,24010.0,24259.0,24606.0,25077.0,32001,2.28837,122.63321100604371,-0.013629439589513348,-0.23635585812486215,-0.7332534316615216,-0.6494790692156456
630,"Clark, NV",32003,1375765,1460500,1522962,1584166,1662773,1729522,1803774,1867817,1912349,1939407,1895521,1928695,1954773,1976925,2003613.0,2035572.0,2070153.0,2112436.0,2141574.0,2182004.0,2228866.0,2231147.0,32003,94.21502,2635.747381202998,0.1758593020072054,-0.21991172795075717,1.000858739545237,1.2402310491863806
631,"Douglas, NV",32005,41259,42327,43436,44524,46388,46731,46855,47166,47270,46965,47042,47058,47056,47035,47135.0,47259.0,47426.0,47632.0,47828.0,48132.0,48486.0,49158.0,32005,284.34484,489.1922101068551,0.030695973810637302,-0.18590070383469137,-0.4803184757632514,-0.20743601431539646
632,"Elko, NV",32007,45291,45063,44173,43693,43830,44760,46108,47423,47634,48445,47707,48390,49133,50023,50991.0,51562.0,52029.0,52377.0,52252.0,52297.0,52537.0,53420.0,32007,340.43882,1356.9290879993782,0.10124300417129561,-0.17586643510953234,0.11844185880620788,0.49610677124743435
633,"Humboldt, NV",32013,16106,15211,14776,14630,14912,15046,15420,15658,15958,16290,15986,16249,16511,16800,17003.0,17067.0,17091.0,17088.0,16904.0,16828.0,16834.0,17218.0,32013,292.20198,529.3063121104508,0.053046415613661954,-0.18449519375729634,-0.45263873349511036,0.015457734780368729
634,"Lander, NV",32015,5794,5450,5180,5017,5086,5117,5307,5439,5521,5660,5545,5651,5751,5844,5930.0,5946.0,5907.0,5887.0,5746.0,5643.0,5565.0,5729.0,32015,15.32228,417.79640283033024,0.0036068530207394047,-0.23402431104120827,-0.5295833837565285,-0.47758708093776925
635,"Mineral, NV",32021,5071,4852,4716,4750,4892,4880,4864,4880,4781,4769,4812,4760,4718,4700,4627.0,4566.0,4519.0,4471.0,4448.0,4460.0,4487.0,4552.0,32021,21.06895,43.644413205584094,-0.06753948462177889,-0.2329963285187556,-0.7877576946509073,-1.1871065647731187
636,"Washoe, NV",32031,339486,351959,362374,372302,382777,392716,400453,408724,414793,417722,412844,417855,422010,425495,429985.0,435019.0,439914.0,445551.0,450486.0,456936.0,464182.0,479758.0,32031,44.88314,557.1547565861042,0.1243520554979605,-0.22873637082040735,-0.4334226043247347,0.7265658885052302
637,"Carson City city, NV",32510,52457,53472,54503,55234,55995,55982,55410,55288,55552,55401,55375,55378,55184,54821,54634.0,54482.0,54412.0,54219.0,54467.0,54773.0,55244.0,57957.0,32510,286.07258,535.950258362123,-0.00236568848758465,-0.18559164023379862,-0.4480542429866806,-0.5371493115259928
638,"Hillsborough, NH",33011,380841,387414,389665,391461,394428,396381,398169,398843,399556,400148,399555,400243,401101,402017,402776.0,403972.0,404948.0,406371.0,411087.0,413035.0,415305.0,420504.0,33011,41.61288,1096.1660683705659,0.03941885347449037,-0.22932136528222194,-0.06149120253318675,-0.12044554816164454
639,"Rockingham, NH",33015,277359,282932,286218,287893,289103,291190,293618,294132,294996,295083,294638,295162,295872,296718,297702.0,299006.0,300365.0,302479.0,305129.0,306359.0,308211.0,312771.0,33015,101.70324,1376.0211128213339,0.04606669879648925,-0.21857221145089195,0.13161583753322295,-0.05414873039455455
640,"Strafford, NH",33017,112233,114382,115811,116846,117926,118681,120363,121735,122460,123034,122158,122859,123295,123836,124387.0,125273.0,125913.0,126552.0,128237.0,129124.0,130161.0,130598.0,33017,79.39648,623.937509122708,0.06551351528348533,-0.22256251529860663,-0.3873408204671642,0.13978809971219086
641,"Atlantic, NJ",34001,252552,255737,259263,263285,267723,270332,271759,272303,273014,274049,273162,273674,274402,274960,275325.0,275376.0,274026.0,272926.0,268539.0,266105.0,264650.0,273865.0,34001,3105.72231,918.4317875098217,-0.03116099603898053,0.3187962299376899,-0.18413233970728587,-0.8243156285527841
642,"Bergen, NJ",34003,884118,888782,890647,892214,893378,891446,889406,890817,895328,900319,896482,900730,906781,912795,920456.0,926330.0,930310.0,937920.0,929999.0,930390.0,931275.0,952979.0,34003,67.26876,625.6579888656665,0.0388105951932108,-0.2247319602462371,-0.38615364604510233,-0.1265115118650825
643,"Burlington, NJ",34005,423394,429727,436445,442434,446548,447245,448373,447560,446831,447391,447861,448095,449117,449964,450155.0,450556.0,450236.0,449192.0,446367.0,445702.0,446301.0,460102.0,34005,435.57565999999997,1147.5573948044898,-0.003483223589461909,-0.1588480559853829,-0.026029890938042276,-0.548294128742529
644,"Camden, NJ",34007,508932,506326,507899,508563,510137,511982,513195,513546,513853,513668,513574,513582,513660,513512,512632.0,511998.0,511145.0,510996.0,507367.0,506738.0,506721.0,521194.0,34007,63.917320000000004,954.1001430210833,-0.013343744036886603,-0.22533147644345197,-0.15952027466363486,-0.6466299195931828
645,"Cape May, NJ",34009,102326,102023,101694,101710,100482,99269,98695,97686,97550,97238,97684,97265,96987,96684,96286.0,95805.0,95404.0,94549.0,93705.0,93086.0,92701.0,95488.0,34009,6466.64372,956.389403140661,-0.051011424593587484,0.9200084917896811,-0.15794062743411535,-1.0222775516631903
646,"Cumberland, NJ",34011,146438,146451,147294,148437,149837,152022,153371,154489,155738,156531,155456,156142,156864,157342,157429.0,157035.0,155744.0,154952.0,153400.0,151906.0,150085.0,154921.0,34011,528.00473,872.6704031579076,-0.03454996912309592,-0.1423140513311128,-0.21570884924951078,-0.8581127643302473
647,"Essex, NJ",34013,793633,794312,795625,795167,791305,786341,781027,778996,778165,781943,780872,781668,783840,785853,789616.0,791609.0,792586.0,800401.0,793555.0,795404.0,798698.0,852720.0,34013,5.40358,703.3093041170105,0.022828325256892296,-0.23579859949790608,-0.3325722797528517,-0.28589753638136206
648,"Gloucester, NJ",34015,254673,258783,262909,267445,271714,275122,280015,284086,286072,287362,285223,287036,288187,289098,289705.0,290298.0,291286.0,291372.0,290852.0,291165.0,291745.0,300821.0,34015,167.41055,892.5424494558714,0.022866318634892698,-0.2068182798213779,-0.20199663602786372,-0.28551864067370875
649,"Hudson, NJ",34017,608975,616629,615554,614813,614607,614664,613577,613637,619533,628572,622123,627589,636194,644605,654878.0,662619.0,668526.0,679756.0,668631.0,670046.0,671923.0,713264.0,34017,2.65739,638.8699702127197,0.08004847915926594,-0.23628984665901573,-0.3770370456409567,0.284740607577419
650,"Mercer, NJ",34021,350761,353816,355935,358724,361248,362015,362840,363088,364119,365388,364445,365318,366442,368094,369526.0,370212.0,371101.0,373362.0,368762.0,367922.0,368085.0,384951.0,34021,578.68515,911.0819928158637,0.009987789652759675,-0.1332481773570442,-0.18920388344605066,-0.4139520574698649
651,"Middlesex, NJ",34023,750162,761770,769280,775973,781582,787329,786890,792137,799191,805204,798882,804299,811064,817026,824046.0,830300.0,831852.0,837288.0,826698.0,825920.0,825015.0,858770.0,34023,948.06735,1573.977463523979,0.03271196497104704,-0.06717192002799688,0.2682107130036945,-0.18733118453852654
652,"Monmouth, NJ",34025,615301,620563,624532,627413,628605,627838,626934,626644,627348,628669,628112,628920,629263,629735,629702.0,629185.0,627532.0,627551.0,623387.0,621659.0,620821.0,642160.0,34025,21410.6971,1021.0909345929336,-0.011607802430139848,3.5932480704047296,-0.11329493862392104,-0.629317933711689
653,"Morris, NJ",34027,470212,473515,477234,481000,483997,485472,487486,488355,489743,490779,489811,491307,493472,495261,497103.0,498192.0,498215.0,498847.0,494383.0,493379.0,492715.0,508347.0,34027,543.50066,1734.32586710062,0.005928817441829604,-0.13954209031557685,0.37885515628978467,-0.4544308784946599
654,"Ocean, NJ",34029,510916,523357,536069,545093,551262,556012,561302,565356,569485,573123,569374,572991,575961,578902,581413.0,583450.0,586166.0,589699.0,591939.0,596415.0,602018.0,630057.0,34029,21774.7472,1514.063991428322,0.05733314130957859,3.658370504805373,0.22686890592924996,0.05820786787074494
655,"Passaic, NJ",34031,489049,493252,494571,494915,493981,493600,492730,492886,494904,498641,496204,498009,500168,502854,505403.0,507574.0,507204.0,510563.0,504041.0,503637.0,502763.0,521067.0,34031,35.05801,525.2384325442135,0.013218353741606275,-0.23049392117928047,-0.4554456730088303,-0.3817346835224866
656,"Salem, NJ",34033,64285,64069,64434,64345,64835,65388,65831,65864,65974,66183,65982,65984,66007,65825,65501.0,65120.0,64504.0,63776.0,63336.0,62990.0,62754.0,64752.0,34033,618.49896,828.1601256359926,-0.0489224333909248,-0.12612615698137425,-0.24642206351963458,-1.001444716004141
657,"Somerset, NJ",34035,297490,301671,305255,307902,310424,312617,314993,317128,318856,321564,319347,321304,323650,326207,328704.0,330604.0,331686.0,333316.0,330176.0,329838.0,330151.0,343950.0,34035,854.55108,1150.0615120182272,0.03383153748117252,-0.08390040646013323,-0.024301986893742543,-0.17616604890650273
658,"Sussex, NJ",34037,144166,146004,147712,149260,149906,150192,150508,150600,150145,149487,149996,149589,148962,147924,146888.0,145930.0,144694.0,143570.0,142298.0,141483.0,140996.0,144492.0,34037,893.46058,869.6644470537306,-0.0600016000426678,-0.0769401519201349,-0.21778303478719294,-1.111933672492222
659,"Union, NJ",34039,522541,526183,527625,527611,526916,526161,525153,524960,527528,532434,529547,532378,536383,540568,545236.0,548744.0,550436.0,557320.0,553066.0,554033.0,555208.0,571963.0,34039,2.31323,478.397810116798,0.04845839934887744,-0.23635141108936017,-0.4877668840471318,-0.030297072000756146
660,"Warren, NJ",34041,102437,105201,106774,108163,108491,108855,109059,109179,109264,108693,108982,108829,108488,108150,107624.0,107226.0,107095.0,107088.0,106293.0,105862.0,105730.0,109354.0,34041,288.89808,818.5072923400658,-0.029839790057073646,-0.18508620584880872,-0.25308276198833357,-0.8111396673243522
661,"Bernalillo, NM",35001,556678,564241,576532,587049,600449,615320,628632,638978,646879,655279,646881,655306,661924,667092,671429.0,673943.0,674777.0,674855.0,677692.0,677858.0,679037.0,674919.0,35001,23.09648,1076.7649854821768,0.04970929738236245,-0.23263363753358537,-0.07487843912208791,-0.017822269270804686
662,"Chaves, NM",35005,61382,60928,60768,61248,61478,62172,62486,63587,64378,65110,64268,64949,65343,65627,65850.0,65811.0,65610.0,65454.0,65459.0,65144.0,64912.0,65014.0,35005,3462.47783,506.84254655293745,0.01002053899296695,0.3826137867746952,-0.46813929838244545,-0.4136254588601576
663,"Curry, NM",35009,45044,44964,45133,45385,46640,46981,47018,46588,45512,46555,46924,47453,48101,49302,50173.0,50497.0,50544.0,50283.0,50199.0,49732.0,49502.0,48716.0,35009,2362.21995,714.1740405303977,0.054939902821583834,0.18579617399532458,-0.3250753375626242,0.034340872141056855
664,"Dona Ana, NM",35013,174682,176496,178464,182045,184939,189199,193701,197853,200855,205401,201670,205637,208794,211175,212942.0,213963.0,213825.0,213849.0,215338.0,216069.0,217696.0,218157.0,35013,5.23998,235.5586088202968,0.0794664550999157,-0.2358278647838322,-0.6553320586055913,0.2789362693099332
665,"Eddy, NM",35015,51658,50765,51002,51036,51242,50732,51366,51923,52566,53578,52665,53228,53693,54284,54834.0,55641.0,56369.0,56793.0,57437.0,57732.0,57865.0,61096.0,35015,211.99312,998.6316071155603,0.09873730181334853,-0.19884320855993037,-0.1287924411240081,0.4711182096072191
666,"Grant, NM",35017,31002,30692,30165,29485,29038,29281,29503,29841,29921,29865,29706,29684,29602,29471,29303.0,29119.0,28879.0,28382.0,28061.0,27669.0,27391.0,28178.0,35017,4.40931,131.64535910308652,-0.07793038443412105,-0.23597645766317377,-0.7270348221414554,-1.2907316580067565
667,"Guadalupe, NM",35019,4680,4791,4771,4875,4731,4713,4701,4759,4701,4637,4698,4684,4655,4626,4594.0,4526.0,4469.0,4426.0,4382.0,4353.0,4336.0,4465.0,35019,551.54022,360.31574844811473,-0.07705406555981269,-0.13810394837107515,-0.5692464852404205,-1.28199241244645
668,"Hidalgo, NM",35023,5932,5439,5272,5127,5028,4955,4921,5005,5022,5019,4964,4953,4903,4834,4734.0,4643.0,4531.0,4446.0,4371.0,4297.0,4234.0,4214.0,35023,19.41585,47.18752793158633,-0.14705882352941177,-0.23329204028015246,-0.7853128561142398,-1.9801272903115477
669,"Lea, NM",35025,55511,55377,56340,56643,57471,58331,59541,61058,62737,64483,62503,63690,64670,65681,66876.0,68149.0,68930.0,69505.0,70126.0,70277.0,70359.0,72743.0,35025,77.63737,420.26077630675235,0.12568996688158968,-0.22287719046441076,-0.5278829038935193,0.7399084473183027
670,"Los Alamos, NM",35028,18343,17610,18060,18408,18416,18407,18477,18281,17924,17742,18091,18040,18008,17979,17974.0,17939.0,17895.0,18031.0,18356.0,18625.0,18976.0,19169.0,35028,759.82301,825.4463288635092,0.048919352164059474,-0.10084566351259544,-0.24829465174867485,-0.02570013821136382
671,"Luna, NM",35029,25016,24593,24630,24762,24822,25102,25303,25328,25375,25119,25252,25250,25162,25001,24947.0,24789.0,24627.0,24319.0,24264.0,24083.0,24022.0,25282.0,35029,3.36818,78.26767805423964,-0.048709013147473466,-0.23616269829359124,-0.76386676852706,-0.999316344734569
672,"Otero, NM",35035,62298,61277,61194,61371,62662,62533,62200,62466,62498,62462,62782,63494,64176,64767,65415.0,65318.0,65333.0,65130.0,65745.0,66137.0,66804.0,67298.0,35035,23.58561,488.5394366133626,0.06406294797872002,-0.23254614041069377,-0.48076890594009364,0.125322059724063
673,"Quay, NM",35037,10155,9791,9638,9541,9306,9131,9036,8996,8978,8920,9002,9000,8956,8890,8822.0,8698.0,8555.0,8447.0,8373.0,8326.0,8265.0,8675.0,35037,1193.21924,299.56476903672933,-0.081870695401022,-0.0233183738410331,-0.611166193488995,-1.330027108707729
674,"Roosevelt, NM",35041,18018,18377,18627,18722,18856,19093,19186,19359,19074,19192,19372,19622,19840,19984,20065.0,19908.0,19618.0,19313.0,19117.0,18888.0,18723.0,19223.0,35041,6381.201249999999,506.4407571551643,-0.033501961594053276,0.9047242722616434,-0.46841654320212095,-0.8476613231780957
675,"Sandoval, NM",35043,89908,93440,96263,99350,102583,107436,114231,120401,125368,128985,124263,128280,131302,133503,135191.0,136638.0,138117.0,138815.0,140769.0,142704.0,144954.0,147327.0,35043,227.51319999999998,2015.597372883136,0.16650974143550373,-0.1960669275159402,0.5729395904056002,1.146990896414881
676,"San Juan, NM",35045,113801,115745,119430,121553,123179,124809,125028,126149,126905,129359,127517,128160,128600,128476,127358.0,125133.0,122537.0,128221.0,127455.0,126515.0,125608.0,122912.0,35045,54.60134,725.2972646320553,-0.014970552945881725,-0.22699794843845406,-0.3174000323470903,-0.6628535602703547
677,"San Miguel, NM",35047,30126,29788,29707,29530,29547,29621,29388,29259,29234,29336,29321,29300,29225,29093,28899.0,28668.0,28350.0,28203.0,28034.0,27738.0,27546.0,27357.0,35047,158.73318,1255.783953453669,-0.06053681661607722,-0.20837051523786349,0.04864916456489788,-1.1172712147957153
678,"Santa Fe, NM",35049,129292,131057,133555,135213,136391,137610,138786,140210,141704,143205,141702,143053,144209,145400,146361.0,147108.0,147320.0,147514.0,148917.0,149293.0,150319.0,153632.0,35049,49.99641,2087.6177617134276,0.06081071544508899,-0.22782169289517734,0.6226354754261619,0.09288859336394213
679,"Sierra, NM",35051,13270,12960,12672,12703,12382,12120,11997,11812,11914,11940,11938,11925,11956,11898,11774.0,11615.0,11442.0,11254.0,11135.0,11031.0,10988.0,11512.0,35051,409.16428,138.50777727837783,-0.07957781873010554,-0.16357260725313552,-0.7222995804947336,-1.3071609890176197
680,"Valencia, NM",35061,66152,67591,68401,68850,69021,70093,71661,73703,74879,75770,74554,75640,76172,76461,76480.0,76297.0,75993.0,75845.0,75956.0,76027.0,76518.0,75992.0,35061,155.94885,828.3135878226062,0.026343321619229015,-0.2088685850029171,-0.24631617073975906,-0.25084361108700026
681,"Albany, NY",36001,294565,296232,298283,301085,302173,302791,303997,303858,303739,304733,304032,303957,304511,305279,306124.0,307463.0,307891.0,308580.0,307426.0,306968.0,306165.0,314679.0,36001,27.42389,252.11954872055793,0.0070157088727502365,-0.23185953673303705,-0.6439045923216318,-0.44359166072737727
682,"Bronx, NY",36005,1332650,1346555,1358739,1362373,1358963,1351736,1348164,1354056,1363488,1376261,1365725,1374593,1386364,1397315,1413566.0,1428357.0,1436785.0,1455846.0,1437872.0,1435068.0,1427056.0,1468262.0,36005,2.8775500000000003,393.8752104282415,0.04490728367716781,-0.23625046374123151,-0.5460896099304829,-0.0657112035206517
683,"Broome, NY",36007,200536,200868,201438,201037,200974,200477,200905,200877,201029,200935,200804,200448,199928,199298,198797.0,198093.0,197381.0,196124.0,194402.0,193188.0,192042.0,198591.0,36007,2990.5144099999998,1288.6640017541804,-0.043634588952411305,0.2981874760596222,0.07133722729756488,-0.9487107485093256
684,"Chautauqua, NY",36013,139750,138730,138346,137587,137174,136139,135640,135481,135229,135197,135263,135018,134599,134156,133556.0,132646.0,131748.0,130846.0,129656.0,128496.0,127584.0,128042.0,36013,219.46703,2018.4610393369537,-0.05677088339013625,-0.19750625187816787,0.5749155924952517,-1.0797147770764084
685,"Chemung, NY",36015,91070,90780,90613,90154,89777,88860,88732,88634,88503,88849,88708,88731,88779,88876,88681.0,88267.0,87742.0,86883.0,85740.0,84895.0,84115.0,84456.0,36015,172.14394000000001,679.4744142912035,-0.05177661541236416,-0.205971556033175,-0.34901895497217317,-1.029908552959447
686,"Cortland, NY",36023,48599,48903,48891,49475,49628,49330,49449,49624,49537,49358,49452,49441,49453,49271,49231.0,49043.0,48713.0,48334.0,48123.0,47865.0,47618.0,46984.0,36023,44.81299,541.8267552603608,-0.037086467685836774,-0.22874891947448878,-0.4439993118911728,-0.8834084465904888
687,"Dutchess, NY",36027,280150,284712,287700,290781,292859,294362,294712,295319,296267,296887,296152,296842,297291,297385,297388.0,296928.0,295905.0,295685.0,293894.0,293754.0,293524.0,296012.0,36027,0.96465,88.48473601700125,-0.008873821551095383,-0.23659264934910526,-0.7568167408055733,-0.6020528239900598
688,"Erie, NY",36029,950265,946515,943551,941846,938333,931745,925564,921887,920571,919334,921202,919714,919542,919230,920694.0,921584.0,922129.0,923995.0,919866.0,919355.0,918873.0,949715.0,36029,27.17379,2013.7174828398984,-0.0025282185666118833,-0.23190427541280556,0.5716424188551914,-0.5387701715955376
689,"Kings, NY",36047,2465326,2477252,2480559,2472999,2459094,2445809,2436132,2441324,2460361,2487751,2466782,2486119,2512740,2539789,2570801.0,2595259.0,2606852.0,2635121.0,2600747.0,2589974.0,2576771.0,2712360.0,36047,8.02364,528.2699489888616,0.04458805034251101,-0.2353299148704997,-0.4533538501914588,-0.06889481462888346
690,"Monroe, NY",36055,735343,739891,741391,741671,741075,738506,738329,739249,741018,743386,741274,742783,744746,746548,748076.0,749356.0,749236.0,748680.0,744248.0,743341.0,743084.0,757332.0,36055,18.62158,3672.191167179668,0.0024417421897975646,-0.23343412181225864,1.7160310963557914,-0.4892063555592474
691,"Montgomery, NY",36057,49708,49472,49298,49449,49460,49505,49724,49798,49951,50001,49945,49985,50025,50019,49951.0,49779.0,49667.0,49500.0,49426.0,49302.0,49294.0,49539.0,36057,3.98757,163.5128814878268,-0.013034337771548703,-0.23605189984952155,-0.7050454278318244,-0.6435443106784834
692,"Nassau, NY",36059,1334544,1337086,1339572,1339761,1337964,1332318,1324905,1322048,1325129,1332088,1329083,1332947,1338712,1343765,1350601.0,1354612.0,1356801.0,1363069.0,1356564.0,1356509.0,1355683.0,1391678.0,36059,5.56841,593.6533239048312,0.020013798987723114,-0.23576911418568594,-0.40823767219168583,-0.3139658993064626
693,"New York, NY",36061,1537195,1555729,1555382,1562154,1569947,1573573,1578171,1581402,1587022,1583431,1583345,1588257,1596735,1605272,1618398.0,1629507.0,1634989.0,1653877.0,1632480.0,1631993.0,1629153.0,1669127.0,36061,3.7711300000000003,395.8726375642531,0.028931155244119253,-0.23609061732192896,-0.544711334821165,-0.2250359808051769
694,"Niagara, NY",36063,219846,218552,218127,218072,217737,216818,216148,215791,215793,216043,216064,216036,215869,215465,214973.0,214150.0,213374.0,212675.0,211704.0,210820.0,210145.0,212808.0,36063,74.84002,3223.126780942336,-0.027394660841232227,-0.22337758928828316,1.4061653421196356,-0.7867551820982602
695,"Oneida, NY",36065,235469,234247,234078,234243,234654,234282,234229,234488,234482,234619,234533,234549,234336,234206,233944.0,233558.0,232858.0,232324.0,230782.0,229959.0,229074.0,232034.0,36065,162.17097,1826.7309406111303,-0.023276042177433454,-0.2077555524792811,0.44261698794714754,-0.7456815262322869
696,"Onondaga, NY",36067,458336,458576,459484,460961,461412,460910,460925,461287,463472,465633,463704,464921,466179,467202,467846.0,468304.0,468050.0,467669.0,464242.0,462872.0,461591.0,474621.0,36067,58.49904,344.46468205055874,-0.004556786225695703,-0.22630071552308503,-0.5801841209008227,-0.5590004227383327
697,"Orange, NY",36071,341367,347674,352975,358727,362934,364522,366908,368464,370201,372079,370201,371833,372951,373902,374518.0,375384.0,376242.0,378174.0,378227.0,380085.0,382077.0,398277.0,36071,32.62169,376.51406722139313,0.03207987012460798,-0.2309297378138013,-0.5580692366812643,-0.19363486262008675
698,"Putnam, NY",36079,95745,97055,98263,98964,99468,99575,99357,99454,99537,99666,99545,99662,99702,99718,99697.0,99488.0,99408.0,99464.0,99070.0,98787.0,98714.0,97960.0,36079,7.46617,130.05282105418092,-0.008347983324124768,-0.23542963686894255,-0.7281337135672679,-0.5968088089115082
699,"Queens, NY",36081,2229379,2231316,2224507,2214608,2198516,2185222,2173862,2177351,2193623,2217166,2199169,2213977,2235008,2256400,2280602.0,2301139.0,2310011.0,2339280.0,2298513.0,2287388.0,2270976.0,2393104.0,36081,12.96501,740.6606462517994,0.032651878959734336,-0.23444598696147204,-0.3067989114853172,-0.18793040295432922
700,"Rensselaer, NY",36083,152538,152700,153040,154201,155523,156104,157312,158243,159011,159150,158629,159053,159464,159565,159600.0,159900.0,159959.0,159800.0,159431.0,159185.0,159013.0,161125.0,36083,6.82545,229.9189676782785,0.002420742739347786,-0.23554425089093892,-0.6592235532545773,-0.4894157763072108
701,"Richmond, NY",36085,443728,448961,452813,455939,456846,457028,457577,459642,463701,466965,463450,466034,468374,470223,471522.0,472481.0,473324.0,475948.0,474101.0,474893.0,475596.0,493194.0,36085,16.3662,375.1588469235299,0.026207789405545367,-0.23383757132675823,-0.5590043728724733,-0.25219523015106315
702,"Rockland, NY",36087,286753,290613,293728,296224,297562,298737,299390,301668,305413,308652,305461,308682,312011,315069,318186.0,320688.0,322642.0,325027.0,323686.0,324422.0,325213.0,336485.0,36087,2.31188,136.86154133031636,0.06466291932521664,-0.23635165258163401,-0.723435524825503,0.13130538049907203
703,"Saratoga, NY",36091,200635,203974,206446,209410,211478,212975,214627,215798,217282,218652,217264,218520,219832,221169,222512.0,223774.0,224929.0,226632.0,227377.0,228502.0,229313.0,235010.0,36091,1.5897000000000001,195.70884045206924,0.05545787613226305,-0.23648083842631706,-0.6828294039974633,0.0395064529455138
704,"Schenectady, NY",36093,146555,146334,147199,147891,148900,150200,151768,152275,153360,154050,153268,153935,154466,154821,155178.0,154796.0,154845.0,155239.0,154883.0,154859.0,155086.0,157515.0,36093,3.4189,217.04721940572324,0.011861575801863403,-0.23615362533942147,-0.6681053842548769,-0.39526539241607056
705,"Suffolk, NY",36103,1419369,1442488,1456745,1470849,1478215,1477687,1475626,1475255,1480218,1487206,1482548,1487177,1492360,1495803,1500373.0,1501373.0,1498130.0,1497595.0,1487901.0,1483832.0,1481364.0,1522998.0,36103,90.18145,861.009679757323,-0.0007986250698122422,-0.22063326572186454,-0.22375504253982373,-0.5215214933675684
706,"Tompkins, NY",36109,96501,97458,98227,99049,99531,99433,99651,99910,100383,101497,100612,101033,101570,102270,103179.0,103855.0,104268.0,104415.0,102962.0,102642.0,102237.0,105638.0,36109,44.559819999999995,501.3433194725983,0.016151154931817277,-0.22879420732557632,-0.4719339037869021,-0.3524868029481443
707,"Ulster, NY",36111,177749,178440,180128,180942,181847,182438,182845,182818,183174,182638,182782,182710,182516,182086,181598.0,181300.0,180505.0,180129.0,179303.0,178665.0,178371.0,181862.0,36111,1.40764,145.1582929715694,-0.02413257322931142,-0.23651340589548406,-0.7177105569059402,-0.7542234342201721
708,"Warren, NY",36113,63303,63406,63774,64323,64576,65206,65554,65740,65848,65694,65707,65767,65700,65584,65388.0,65180.0,64911.0,64701.0,64480.0,64276.0,64187.0,65692.0,36113,307.53281,692.757197855128,-0.02313299952820856,-0.18175276635243526,-0.33985349925238734,-0.7442550080163465
709,"Westchester, NY",36119,923459,931577,935219,935799,935457,933401,931426,933414,937449,944201,939406,944249,950227,956283,962319.0,967315.0,969229.0,975321.0,968815.0,968890.0,968738.0,999723.0,36119,6.3768899999999995,246.12288534369003,0.03122398622108013,-0.23562449072379366,-0.648042441318616,-0.2021703168061523
710,"Alamance, NC",37001,130800,133346,135239,136009,137619,139311,141462,144712,147704,149954,147072,149439,151170,152472,153713.0,155258.0,156372.0,157844.0,160576.0,163324.0,166144.0,169185.0,37001,70.67586,622.5702356233663,0.12967798085291557,-0.22412248741201335,-0.3882842736714375,0.7796796247003456
711,"Buncombe, NC",37021,206330,209104,211841,214982,218139,221642,226524,230766,233772,236349,233249,236230,239000,241801,244599.0,247336.0,250112.0,252268.0,254474.0,256886.0,259576.0,266981.0,37021,16.30842,413.58956102077275,0.1128707947300953,-0.2338479071960786,-0.5324862107234877,0.6120669770542146
712,"Burke, NC",37023,89148,89525,89371,89493,89394,89526,89903,90146,90788,91178,90557,90753,90821,90591,90164.0,89548.0,89082.0,88898.0,89712.0,89968.0,90148.0,87829.0,37023,218.15643,803.9314733775976,-0.004516492374968252,-0.19774069615527556,-0.2631404447501722,-0.5585985851579709
713,"Cabarrus, NC",37025,131063,136463,140054,143336,146429,150797,157735,165717,171915,175993,169990,174730,178396,181415,184855.0,188375.0,192296.0,196716.0,201448.0,206615.0,211605.0,221200.0,37025,15.48426,1005.061608310638,0.24480851814812635,-0.23399533554601076,-0.12435557810143225,1.9278393487585324
714,"Caldwell, NC",37027,77415,78375,78920,79380,79471,80218,80897,81588,82527,82798,82162,82464,82493,82407,82140.0,81758.0,81623.0,81805.0,81779.0,81884.0,82056.0,80705.0,37027,26.5427,712.5129457283603,-0.001290134125264721,-0.2320171667899152,-0.32622153487745437,-0.5264231546881735
