GEOID,MEDRENT,MVALOO,PCTKID,PCTOLD,AVGPERHH,PCTFRMPOP,FEMLBR,PCTFHH,PCTPOV,PCTRENT,PCTMOBL,HOUDEN,PCTNOHS,PCTCVLBF,PCTVOTE,LGINREV,GENEXPPC,EXPED,INFMTR,CHILLD,DISNWR,LBWB,HUWNF,HUWNP,MD
20003,365,49300,0.06202,0.20049,2.48,0.1656,0.45857,0.09757,0.12552,0.17937,0.10512,6.16894,88.5,1,0.4471,2452,2418,10074,56.6,92.47842,503.08261,9.86437,0,53.02096,1.23305
17095,411,63500,0.05769,0.17516,2.33,0.02538,0.47931,0.16231,0.10305,0.26441,0.04318,33.11135,85.2,0.9993,0.42962,2841,2638,66824,71.6,95.99542,407.26413,7.16384,10.02937,4.4774,1.79096
30107,315,53100,0.05976,0.19301,2.24,0.12306,0.43727,0.07763,0.19478,0.20277,0.15425,0.81091,87.6,1,0.43515,2703,2749,3851,105.2,92.96149,398.40638,4.42674,0,8.85348,0
47015,382,79600,0.0669,0.13683,2.53,0.05621,0.45906,0.13639,0.12545,0.19779,0.20074,20.40355,75.9,0.99904,0.42546,1474,1568,11592,79.8,83.42429,669.73335,7.79666,0,17.93233,0
23007,432,78300,0.05138,0.14199,2.4,0.01778,0.48087,0.13991,0.13985,0.14745,0.11149,11.28454,87.9,0.99946,0.58296,3234,2657,41797,44.6,68.2119,618.3188,5.76917,1.69681,53.27994,1.01809
21165,233,54500,0.05842,0.11776,2.49,0.10052,0.44612,0.11684,0.29134,0.12749,0.23962,18.19519,73.6,0.99602,0.37965,1369,1344,7042,87,68.63941,1433.8011,12.20256,0,53.38621,0
46089,253,20100,0.0551,0.2958,2.31,0.23313,0.44289,0.04015,0.22039,0.1413,0.0628,1.28855,70.8,1,0.47349,2045,2192,3941,0,137.74105,488.98072,3.44353,6.88705,13.77411,0
8051,593,189400,0.046,0.06915,2.3,0.01827,0.43243,0.1031,0.13965,0.25758,0.09009,2.82048,93.2,0.99965,0.63557,4184,4178,11024,98.4,21.49613,275.15047,7.88192,21.49613,15.04729,0.71654
26029,470,112700,0.06481,0.14925,2.48,0.01081,0.46815,0.11497,0.07911,0.12765,0.09369,36.87266,90.2,0.99308,0.55067,3804,4376,54587,52.8,65.54235,429.66654,6.51591,3.83289,25.29705,2.29973
27151,362,58200,0.0537,0.18526,2.39,0.12571,0.46543,0.0923,0.07302,0.20743,0.04812,6.48394,85.1,0.99945,0.43861,4606,4038,13439,47.2,93.67682,230.84644,7.5276,10.8732,10.0368,0
